Topic,Sentences
0_import_from_const_the,"server.js // Required libraries import cors from 'cors'; import axios from 'axios'; import fs from 'fs'; import express from 'express'; import  from ' // Define HTTPS credentials using the File System (fs) to read the key and certificate files const options = {   key: fs.readFileSync('/opt/bitnami/apache/conf/mindfulai.equalreality.com.key'),   // Path to private key   cert: fs.readFileSync('/opt/bitnami/apache/conf/mindfulai.equalreality.com.crt')   // Path to certificate file }; // Create an instance of an Express application const app = express(); let promptResponse = {}; //API's import PromptGPT from './PromptGPT.js'; import { Speak, ResetCache } from './ElevenLabsServer.js';  import Transcribe from './WhisperTranscriberServer.js'; // Use cors middleware for handling Cross-Origin Resource Sharing app.use(cors()); // Tell Express to parse JSON in the body of incoming requests. app.use(express.json()); // Log all incoming requests app.use(function(req, res, next) {     console.log(`${req.method} request for '${req.url}'`);     next();  // Pass control to the next middleware function }); // Use the 'Speak' function as a route handler for the '/Speak' route - Eleven Labs app.post('/Speak', Speak); //Use the 'Transcribe' function as a route handler for the '/Transcribe' route - Whisper OpenAI app.post('/Transcribe', Transcribe); // Restart the server app.get('/Restart', function (req, res) {     //Restart(); }); // Call to GPT for older version of JudgeGPT app.post('/AskGPT', function (req, res) {     // Log the body of the request     console.log(req.body);     // Extract youtubeId from the request body     const prompt = req.body.prompt;     // Log the prompt     console.log(prompt);     // Create a new OpenAI Reponse with prompt     promptResponse[prompt] = new PromptGPT(prompt);     // Get the response      promptResponse[prompt].AskGPT().then((data) => {         console.log(data);         console.log(data.generatedText);         res.json({ //why not make res.json = data             generatedText: data.generatedText,             inputPrompt: data.inputPrompt         });     })     .catch((error) => {         // If there is an error, log it and send a response         console.error(error);         res.json(""error"");     }); }); // Define the port and HTTPS server options const port = 3000;  // Define server port. Note: HTTPS servers typically use port 443 by default. // Create and start the HTTPS server var server =  app).listen(port, () => {     console.log(`Secure server is running on port ${port}`); }); WhisperTranscriberServer.js // - How to use whisper // - Redesigning it for Node // Import necessary modules import fetch from 'node-fetch'; import FormData from 'form-data'; import multer from 'multer'; import * as ENV from './env.js'; // Extract API key from ENV const OPENAI_API_KEY = ENV.OPENAI_API_KEY; // Initialize multer middleware const upload = multer(); // Set up the middleware and route handler export default [upload.single('file'), async (req, res) => {     // Extract the audio file from the request     const audioFile = req.file;     // Log the received file for debugging purposes     console.log(audioFile);     // Create the form data to send to the Whisper API     const formData = new FormData();     formData.append('file', audioFile.buffer, { filename: 'audio.wav', contentType: 'audio/wav' });     formData.append('model', 'whisper-1');     // Make the API request     try {         const response = await fetch(' {             method: 'POST',             headers: {                 'Authorization': 'Bearer ' + OPENAI_API_KEY,                 ...formData.getHeaders(),             },             body: formData,         });         if (!response.ok) {             throw new Error('API response was not ok. Status: ' + response.status);         }         const data = await response.json();         if (data.text) {             // Send the transcription back in the response             res.json({ transcription: data.text });         } else if (data.status === 'processing') {             // For simplicity, let's just send a message back             res.json({ message: 'Transcription is still processing' });         }     } catch (error) {         // Send the error message back in the response         res.json({ error: error.message });     } }]; PromptGPT.js import fs from 'fs'; import axios from 'axios'; import * as ENV from './env.js'; const OPENAI_API_KEY = ENV.OPENAI_API_KEY; class PromptGPT {   constructor(inputPrompt)    {     this.status = {       finished: false,       generatedText: """",       startTime: new Date(),       completeTime: """",       inputPrompt: """"     };     this.inputPrompt = inputPrompt;     this.callbacks = [];   }   // Add a function to add a callback   addCallback(callback) {     this.callbacks.push(callback);   }   async AskGPT() {     return new Promise((resolve, reject) => {       console.log(this.inputPrompt);         const maxTokens = 200;         const model = ""text-davinci-003"";//""gpt-3.5-turbo"";//""text-davinci-003"";         axios.post(' {           model,           prompt: this.inputPrompt,           max_tokens: maxTokens,         }, {           headers: {             'Authorization': `Bearer `+OPENAI_API_KEY,             'Content-Type': 'application/json',           },         }).then((response) => {           this.status.finished = true;           this.status.generatedText = response.data.choices[0].text.trim();           this.status.completeTime = new Date();           this.status.inputPrompt = this.inputPrompt;           // Invoke all registered callbacks           for (const callback of this.callbacks) {             try {               callback(null, status);             } catch (e) {               console.error('Error invoking callback:', e);             }           }           console.log(""returning generated text"" + this.status );           resolve(this.status);         }).catch((error) => {           reject(error);         });     });   } } exports default PromptGPT; ElevenLabsServer.js import axios from 'axios'; import * as ENV from './env.js'; const ELEVENLABS_API_KEY = ENV.ELEVENLABS_API_KEY; var audioCache = new Map(); // Create a cache to store audio results const Speak = async (req, res) => {     console.log(""Speak"");     const text = req.body.text;     var voiceId;     if(req.body.voiceId == null || req.body.voiceId == """")         voiceId = '21m00Tcm4TlvDq8ikWAM';  // default voice     else         voiceId = req.body.voiceId;     const cacheKey = `${text}-${voiceId}`; // Create a unique key based on text and voiceId     // If audio data is in cache, send it     if(audioCache.has(cacheKey)) {         return res.send(audioCache.get(cacheKey));     }     console.log(""VoiceId "" + voiceId);     const headers = {         'Accept': 'audio/mpeg',         'xi-api-key': ELEVENLABS_API_KEY,         'Content-Type': 'application/json'     };     const body = JSON.stringify({         text: text,         model_id: 'eleven_monolingual_v1',         voice_settings: {             stability: 0.5,             similarity_boost: 0.5         }     });     try {         const response = await axios.post(` body, {             headers: headers,             responseType: 'arraybuffer'  // This is important for handling binary data         });         const audio = Buffer.from(response.data, 'binary');         audioCache.set(cacheKey, audio); // Store the audio data in cache         res.send(audio);     } catch(err) {         // Handle any error that occurred during the API call         console.error(""Error fetching audio:"", err);         res.status(500).send('Failed to generate audio');     } }; // Function to reset the cache const ResetCache = () => {     audioCache.clear();     console.log(""Audio cache has been cleared""); }; export { Speak, ResetCache };"
0_import_from_const_the,"write a readme file for this cli: import { program } from ""commander""; import visit from ""./lib/visit""; import findStories from ""./lib/find-stories""; import getCurl from ""./lib/get-curl""; import run from ""./lib/run""; program   .name(""fetchbook"")   .description(""Manage your HTTP requests"")   .argument(""[story]"", ""story file path"")   .option(""-a, --all"", ""process all stories in a folder recursively"")   .option(""-v, --verbose"", ""verbose"")   .option(""-d, --dry-run"", ""dry run"")   .option(""-c, --curl"", ""convert to curl"")   .action(async (storyFilePath, options) =>     visit(await findStories(storyFilePath, options.all), async (story) => {       const request = new Request(story.url, story.init);       if (options.curl) {         console.log(await getCurl(request));       } else {         await run(story, request, options);       }     }),   )   .parse(); "
0_import_from_const_the,How do I know what port my server is running on? Nodejs pm2 
0_import_from_const_the,"Composite-Muster Die Verzeichnisstruktur Ihres Rechners kann als ein Beispiel f r das Composite-Muster betrachtet werden.  blicherweise ist die Verzeichnisstruktur baumartig. Sie beginnt bei einer Wurzel (root) und jeder Knoten dieses Baumes kann entweder eine Datei oder ein Verzeichnis sein. Implementieren Sie ein Programm, das alle Dateien und Verzeichnisse, die zu einem beliebigen Verzeichnis geh ren, auf der Console ausgibt. Zus tzlich soll die Gr e eines Verzeichnisses berechnet und ausgegeben werden. > FileSystemComponent +print(): void +getSize(): int Directory -name: String +Directory(String) +print(): void +getSize(): int +add(FileSystemComponent): void +remove(FileSystemComponent): void File -name: String -size: int +File(String, int) +print(): void +getSize: int Abbildung 2: Klassendiagramm ist meine L sung korrekt?  package  bung10; import java.util.ArrayList; public class CompositeMuster {     public static void main(String[] args) {         Directory dir1 = new Directory(""Dir 1"");         File file1 = new File(""file1"", 10);         File file2 = new File(""file2"", 12);         File file3 = new File(""file3"", 14);         dir1.add(file1);         dir1.add(file2);         dir1.add(file3);         dir1.print();     } } interface FileSystemComponent {     public void print();     public int getSize(); } class Directory implements FileSystemComponent {     private String name;     private ArrayList fileSystemComponents;     public Directory(String name) {         this.name = name;         this.fileSystemComponents = new ArrayList<>();     }     public void print() {         System.out.println(""Directory: "" + name);         for (FileSystemComponent fileSystem: fileSystemComponents) {             fileSystem.print();         }     }     public int getSize() {         int size = 0;         for (FileSystemComponent fileSystem: fileSystemComponents) {             size += fileSystem.getSize();         }                  return size;     }     public void add(FileSystemComponent fileSystem) {         fileSystemComponents.add(fileSystem);     }     public void remove(FileSystemComponent fileSystem) {         fileSystemComponents.remove(fileSystem);     } } class File implements FileSystemComponent {     private String name;     private int size;     public File(String name, int size) {         this.name = name;         this.size = size;     }     @Override     public void print() {         System.out.printf(""    File: %s | %smb%n"", name, size);     }     @Override     public int getSize() {         return size;     } }"
0_import_from_const_the,"Refactor given component using functional components and hooks.  Please show all the lines so that I don't need to add anything myself. import React, {Component} from ""react""; import PropTypes from ""prop-types""; import {observer} from ""mobx-react""; import {withRouter} from ""react-router-dom""; import style from './style.module.scss'; import {ThemeContext} from ""../../themeContext""; class FilterButton extends Component {     state = {         clickCount: 0,         spanStyles: {}     }     showRipple = (e) => {         const rippleContainer = e.currentTarget;         const size = rippleContainer.offsetWidth;         const pos = rippleContainer.getBoundingClientRect();         const event_offsetX = e.pageX - pos.left;         const event_offsetY = e.pageY - window.pageYOffset - pos.top;         const x = event_offsetX - (size / 2);         const y = event_offsetY - (size / 2);         const spanStyles = {top: y + 'px', left: x + 'px', height: size + 'px', width: size + 'px'};         const count = this.state.clickCount + 1;         this.setState({             spanStyles: {...this.state.spanStyles, [count]: spanStyles},             clickCount: count         });     }     renderRippleSpan = () => {         const {showRipple = false, spanStyles = {}} = this.state;         const spanArray = Object.keys(spanStyles);         if (spanArray && spanArray.length > 0) {             return (                 spanArray.map((key, index) => {                     return                  })             )         } else {             return null;         }     }     cleanUp = () => {         const initialState = {             clickCount: 0,             spanStyles: {}         };         this.setState({...initialState});     }     callCleanUp = (cleanup, delay) => {         return () => {             clearTimeout(this.bounce);             this.bounce = setTimeout(() => {                 cleanup();             }, delay);         }     }     render() {         const themeContext = this.context;         const {buttonPressed} = this.props;         const pressed = buttonPressed ? 'pressed' : 'unpressed';         const classes = [style.FilterButton];         if(themeContext.theme === 'dark') {             classes.push(style.FilterButton_dark);         } else {             classes.push(style.FilterButton_light)         }         if (this.props.className) {             classes.push(this.props.className);         }         if (this.props.withIcon) {             classes.push(style.FilterButton__withIcon);         }         if (this.props.withIconRight) {             classes.push(style.FilterButton__withIconRight);         }         if (pressed === 'pressed') {             classes.push(style.FilterButton__pressed);         }         return (                              {this.props.children}                                      {this.renderRippleSpan()}                                       );     } } FilterButton.contextType = ThemeContext; FilterButton.propTypes = {     tech: PropTypes.any,     style: PropTypes.any,     onClick: PropTypes.func,     className: PropTypes.string }; FilterButton = observer(FilterButton); FilterButton = withRouter(FilterButton); export default FilterButton;"
0_import_from_const_the,Refactor given component using functional components and hooks.  Please show all the lines so that I don't need to add anything myself. import React from 'react'; import searchIcon from '../assets/img/icons-new-design/search--white.svg'; import style from './Search.module.scss'; class Search extends React.Component {   render() {     return(                                                         );   } } export default Search;
0_import_from_const_the,"How could you improve this code:  import React, {Component, Suspense} from 'react'; import Routes from './routes'; import {ThemeContext} from ""./themeContext""; import style from './Theme.module.scss' class RoutedApp extends Component {   render() {     return <>               } } class Theme extends Component {   constructor(props) {     super(props);     this.state = {       theme: localStorage.getItem('theme') ?? this.getSystemPreferredTheme(),       toggleTheme: this.toggleTheme,     };   }   toggleTheme = () => {       this.setState(state => {         const newTheme = state.theme === 'dark' ? 'light' : 'dark'         localStorage.setItem('theme', newTheme);         return {           theme: newTheme         }       });     }     getSystemPreferredTheme() {     const isDarkTheme = window.matchMedia(""(prefers-color-scheme: dark)"");     if (isDarkTheme.matches) {       return 'dark';     }     return 'light';   }   render() {     const classes = [style.Theme];     if(this.state.theme === 'dark') {       classes.push(style.Theme_dark);     } else {       classes.push(style.Theme_light)     }     return (                                                                                      );   } } export default function App() {   return (        ); } "
0_import_from_const_the,"You are AI Junior, you code like Donald Knuth. # Working set ./src/frontend/components/SubTitle.jsx: ``` const SubTitle = () => {   const subtitles = [     ""Your AI contributor"",     ""Handkraft code with AI"",     ""Crafting the future of code"",     ""Revolutionizing development"",     ""AI-driven development"",   ];      const randomSubtitle = subtitles[Math.floor(Math.random() * subtitles.length)];      return (     {randomSubtitle}   ); }; export default SubTitle; ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! Requirements: Add ""Metaprogramming in English"" to the list of navbar subtitles, and remove ""revolutionizing development"" ## Project Specifics - Every js file should *only export a single function or signal*! eg.: in createGitRepo.js: export function createGitRepo ( .... - Use *ES6 imports*! - Prefer *async/await* over promises! - The frontend uses *Solidjs* and Tailwind, edit .jsx files accordingly! Write concise, self-documenting and idiomatic ES6 code! # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, avoid using sed in favor of heredoc-ing full files. OS: OSX Installed tools: npm, jq Before your solution, write a short, very concise readme about the working set, your task, and most importantly its challanges, if any. EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 9 words] echo ""Plan:"" echo ""1. [...]"" cat > x.js << 'EOF' [...] 'EOF' echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END Before starting, check if you need more files or info to solve the task. If the task is not clear: EXAMPLE START I need more information to solve the task. [Description of the missing info] EXAMPLE END Do not edit files not provided in the working set! If you need more files: EXAMPLE START `filepath1` is needed to solve the task but is not in the working set. EXAMPLE END "
0_import_from_const_the,"You are AI Junior, you code like Donald Knuth. # Working set ./src/execute/ansiToHtml.js: ``` const ANSI_COLORS = {   '30': 'black',   '31': 'red',   '32': 'lightgreen',   '33': 'yellow',   '34': 'blue',   '35': 'magenta',   '36': 'cyan',   '37': 'white', }; const ansiToHtml = (terminalOutputStr) => {   if (!terminalOutputStr) return '';   let result = '' + terminalOutputStr.replace(/ 033 [([0-9]+)m/g, (match, p1) => {     const color = ANSI_COLORS[p1];     return color ? `` : '';   });   result += '';   return result.replace(/ n/g, ''); }; export default ansiToHtml; ``` ./src/frontend/components/terminal/TerminalSummary.jsx: ``` import { createEffect, createSignal } from 'solid-js'; import { prependAndExtractLastLine } from './prependAndExtractLastLine'; export function TerminalSummary(props) {   const [lastLineSignal, setLastLineSignal] = createSignal("""");   let localLastLine = """";   createEffect(() => {     localLastLine = prependAndExtractLastLine(localLastLine, props.lastWritten);     if (localLastLine !== """") {       setLastLineSignal(localLastLine);     }   });   return (            {lastLineSignal()}        ); } ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! Requirements: Call ansiToHtml on the last line before setting the signal, and inject it to the innerHtml to allow coloring.  FYI the docs says: #innerHTML/textContent These work the same as their property equivalent. Set a string and they will be set. Be careful!! Setting innerHTML with any data that could be exposed to an end user as it could be a vector for malicious attack. textContent while generally not needed is actually a performance optimization when you know the children will only be text as it bypasses the generic diffing routine.  ## Project Specifics - Every js file should *only export a single function or signal*! eg.: in createGitRepo.js: export function createGitRepo ( .... - Use *ES6 imports*! - Prefer *async/await* over promises! - The frontend uses *Solidjs* and Tailwind, edit .jsx files accordingly! Write concise, self-documenting and idiomatic ES6 code! # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, avoid using sed in favor of heredoc-ing full files. OS: OSX Installed tools: npm, jq Before your solution, write a short, very concise readme about the working set, your task, and most importantly its challanges, if any. EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 9 words] echo ""Plan:"" echo ""1. [...]"" cat > x.js << 'EOF' [...] 'EOF' echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END Before starting, check if you need more files or info to solve the task. If the task is not clear: EXAMPLE START I need more information to solve the task. [Description of the missing info] EXAMPLE END Do not edit files not provided in the working set! If you need more files: EXAMPLE START `filepath1` is needed to solve the task but is not in the working set. EXAMPLE END "
0_import_from_const_the,"You are AI Junior, you code like Donald Knuth. # Working set ./src/frontend/components/terminal/TerminalSummary.jsx: ``` import { createEffect, createSignal } from 'solid-js'; import { prependAndExtractLastLine } from './prependAndExtractLastLine'; export function TerminalSummary(props) {   const [lastLineSignal, setLastLineSignal] = createSignal("""");   let localLastLine = """";   createEffect(() => {     localLastLine = prependAndExtractLastLine(localLastLine, props.lastWritten);     if (localLastLine !== """") {       setLastLineSignal(localLastLine);     }   });   return {lastLineSignal()}; } ``` # Task Implement the following feature! - Create a plan! - Create new files when needed! Requirements: Show the terminal summary with mono font, and add left padding to it, and do not allow it to wrap lines and grow verticaly. Cut the content with elippis instead. ## Project Specifics - Every js file should *only export a single function or signal*! eg.: in createGitRepo.js: export function createGitRepo ( .... - Use *ES6 imports*! - Prefer *async/await* over promises! - The frontend uses *Solidjs* and Tailwind, edit .jsx files accordingly! Write concise, self-documenting and idiomatic ES6 code! # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, avoid using sed in favor of heredoc-ing full files. OS: OSX Installed tools: npm, jq Before your solution, write a short, very concise readme about the working set, your task, and most importantly its challanges, if any. EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 9 words] echo ""Plan:"" echo ""1. [...]"" cat > x.js << 'EOF' [...] 'EOF' echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END Before starting, check if you need more files or info to solve the task. If the task is not clear: EXAMPLE START I need more information to solve the task. [Description of the missing info] EXAMPLE END Do not edit files not provided in the working set! If you need more files: EXAMPLE START `filepath1` is needed to solve the task but is not in the working set. EXAMPLE END "
