,Dominant_Topic_Num,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,13,await,0.8548,"error, file, create, const, function, datum, body, server, text, port","['server.js\n// Required libraries\nimport cors from \'cors\';\nimport axios from \'axios\';\nimport fs from \'fs\';\nimport express from \'express\';\nimport  from \'\n\n// Define HTTPS credentials using the File System (fs) to read the key and certificate files\nconst options = {\n  key: fs.readFileSync(\'/opt/bitnami/apache/conf/mindfulai.equalreality.com.key\'),   // Path to private key\n  cert: fs.readFileSync(\'/opt/bitnami/apache/conf/mindfulai.equalreality.com.crt\')   // Path to certificate file\n};\n\n// Create an instance of an Express application\nconst app = express();\n\nlet promptResponse = {};\n\n//API\'s\nimport PromptGPT from \'./PromptGPT.js\';\nimport { Speak, ResetCache } from \'./ElevenLabsServer.js\'; \nimport Transcribe from \'./WhisperTranscriberServer.js\';\n\n\n// Use cors middleware for handling Cross-Origin Resource Sharing\napp.use(cors());\n\n// Tell Express to parse JSON in the body of incoming requests.\napp.use(express.json());\n\n// Log all incoming requests\napp.use(function(req, res, next) {\n    console.log(`${req.method} request for \'${req.url}\'`);\n    next();  // Pass control to the next middleware function\n});\n\n// Use the \'Speak\' function as a route handler for the \'/Speak\' route - Eleven Labs\napp.post(\'/Speak\', Speak);\n\n//Use the \'Transcribe\' function as a route handler for the \'/Transcribe\' route - Whisper OpenAI\napp.post(\'/Transcribe\', Transcribe);\n\n// Restart the server\napp.get(\'/Restart\', function (req, res) {\n    //Restart();\n});\n\n// Call to GPT for older version of JudgeGPT\napp.post(\'/AskGPT\', function (req, res) {\n    // Log the body of the request\n    console.log(req.body);\n\n    // Extract youtubeId from the request body\n    const prompt = req.body.prompt;\n\n    // Log the prompt\n    console.log(prompt);\n\n    // Create a new OpenAI Reponse with prompt\n    promptResponse[prompt] = new PromptGPT(prompt);\n\n    // Get the response \n    promptResponse[prompt].AskGPT().then((data) => {\n        console.log(data);\n        console.log(data.generatedText);\n        res.json({ //why not make res.json = data\n            generatedText: data.generatedText,\n            inputPrompt: data.inputPrompt\n        });\n    })\n    .catch((error) => {\n        // If there is an error, log it and send a response\n        console.error(error);\n        res.json(""error"");\n    });\n\n});\n\n// Define the port and HTTPS server options\nconst port = 3000;  // Define server port. Note: HTTPS servers typically use port 443 by default.\n\n// Create and start the HTTPS server\nvar server =  app).listen(port, () => {\n    console.log(`Secure server is running on port ${port}`);\n});\n\nWhisperTranscriberServer.js\n// - How to use whisper\n// - Redesigning it for Node\n\n// Import necessary modules\nimport fetch from \'node-fetch\';\nimport FormData from \'form-data\';\nimport multer from \'multer\';\nimport * as ENV from \'./env.js\';\n\n\n// Extract API key from ENV\nconst OPENAI_API_KEY = ENV.OPENAI_API_KEY;\n\n// Initialize multer middleware\nconst upload = multer();\n\n// Set up the middleware and route handler\nexport default [upload.single(\'file\'), async (req, res) => {\n\n    // Extract the audio file from the request\n    const audioFile = req.file;\n\n    // Log the received file for debugging purposes\n    console.log(audioFile);\n\n\n    // Create the form data to send to the Whisper API\n    const formData = new FormData();\n    formData.append(\'file\', audioFile.buffer, { filename: \'audio.wav\', contentType: \'audio/wav\' });\n    formData.append(\'model\', \'whisper-1\');\n\n    // Make the API request\n    try {\n        const response = await fetch(\' {\n            method: \'POST\',\n            headers: {\n                \'Authorization\': \'Bearer \' + OPENAI_API_KEY,\n                ...formData.getHeaders(),\n            },\n            body: formData,\n        });\n\n        if (!response.ok) {\n            throw new Error(\'API response was not ok. Status: \' + response.status);\n        }\n\n        const data = await response.json();\n        if (data.text) {\n            // Send the transcription back in the response\n            res.json({ transcription: data.text });\n        } else if (data.status === \'processing\') {\n            // For simplicity, let\'s just send a message back\n            res.json({ message: \'Transcription is still processing\' });\n        }\n    } catch (error) {\n        // Send the error message back in the response\n        res.json({ error: error.message });\n    }\n}];\n\nPromptGPT.js\nimport fs from \'fs\';\nimport axios from \'axios\';\nimport * as ENV from \'./env.js\';\n\nconst OPENAI_API_KEY = ENV.OPENAI_API_KEY;\n\nclass PromptGPT {\n  constructor(inputPrompt) \n  {\n\n    this.status = {\n      finished: false,\n      generatedText: """",\n      startTime: new Date(),\n      completeTime: """",\n      inputPrompt: """"\n    };\n\n    this.inputPrompt = inputPrompt;\n\n    this.callbacks = [];\n\n  }\n\n  // Add a function to add a callback\n  addCallback(callback) {\n    this.callbacks.push(callback);\n  }\n\n  async AskGPT() {\n    return new Promise((resolve, reject) => {\n      console.log(this.inputPrompt);\n\n        const maxTokens = 200;\n        const model = ""text-davinci-003"";//""gpt-3.5-turbo"";//""text-davinci-003"";\n\n        axios.post(\' {\n          model,\n          prompt: this.inputPrompt,\n          max_tokens: maxTokens,\n        }, {\n          headers: {\n            \'Authorization\': `Bearer `+OPENAI_API_KEY,\n            \'Content-Type\': \'application/json\',\n          },\n        }).then((response) => {\n\n          this.status.finished = true;\n          this.status.generatedText = response.data.choices[0].text.trim();\n          this.status.completeTime = new Date();\n          this.status.inputPrompt = this.inputPrompt;\n\n          // Invoke all registered callbacks\n          for (const callback of this.callbacks) {\n            try {\n              callback(null, status);\n            } catch (e) {\n              console.error(\'Error invoking callback:\', e);\n            }\n          }\n\n          console.log(""returning generated text"" + this.status );\n          resolve(this.status);\n\n        }).catch((error) => {\n          reject(error);\n        });\n\n    });\n  }\n}\n\nexports default PromptGPT;\n\nElevenLabsServer.js\nimport axios from \'axios\';\nimport * as ENV from \'./env.js\';\n\nconst ELEVENLABS_API_KEY = ENV.ELEVENLABS_API_KEY;\n\nvar audioCache = new Map(); // Create a cache to store audio results\n\nconst Speak = async (req, res) => {\n    console.log(""Speak"");\n    const text = req.body.text;\n    var voiceId;\n\n    if(req.body.voiceId == null || req.body.voiceId == """")\n        voiceId = \'21m00Tcm4TlvDq8ikWAM\';  // default voice\n    else\n        voiceId = req.body.voiceId;\n\n    const cacheKey = `${text}-${voiceId}`; // Create a unique key based on text and voiceId\n\n    // If audio data is in cache, send it\n    if(audioCache.has(cacheKey)) {\n        return res.send(audioCache.get(cacheKey));\n    }\n\n    console.log(""VoiceId "" + voiceId);\n\n    const headers = {\n        \'Accept\': \'audio/mpeg\',\n        \'xi-api-key\': ELEVENLABS_API_KEY,\n        \'Content-Type\': \'application/json\'\n    };\n\n    const body = JSON.stringify({\n        text: text,\n        model_id: \'eleven_monolingual_v1\',\n        voice_settings: {\n            stability: 0.5,\n            similarity_boost: 0.5\n        }\n    });\n\n    try {\n        const response = await axios.post(` body, {\n            headers: headers,\n            responseType: \'arraybuffer\'  // This is important for handling binary data\n        });\n\n        const audio = Buffer.from(response.data, \'binary\');\n\n        audioCache.set(cacheKey, audio); // Store the audio data in cache\n\n        res.send(audio);\n    } catch(err) {\n        // Handle any error that occurred during the API call\n        console.error(""Error fetching audio:"", err);\n        res.status(500).send(\'Failed to generate audio\');\n    }\n};\n\n// Function to reset the cache\nconst ResetCache = () => {\n    audioCache.clear();\n    console.log(""Audio cache has been cleared"");\n};\n\nexport { Speak, ResetCache };']"
1,5,append,0.4387,"type, return, response, function, error, text, request, content, message, datum","['write a readme file for this cli:\n\nimport { program } from ""commander"";\nimport visit from ""./lib/visit"";\nimport findStories from ""./lib/find-stories"";\nimport getCurl from ""./lib/get-curl"";\nimport run from ""./lib/run"";\n\nprogram\n  .name(""fetchbook"")\n  .description(""Manage your HTTP requests"")\n  .argument(""[story]"", ""story file path"")\n  .option(""-a, --all"", ""process all stories in a folder recursively"")\n  .option(""-v, --verbose"", ""verbose"")\n  .option(""-d, --dry-run"", ""dry run"")\n  .option(""-c, --curl"", ""convert to curl"")\n  .action(async (storyFilePath, options) =>\n    visit(await findStories(storyFilePath, options.all), async (story) => {\n      const request = new Request(story.url, story.init);\n      if (options.curl) {\n        console.log(await getCurl(request));\n      } else {\n        await run(story, request, options);\n      }\n    }),\n  )\n  .parse();\n']"
2,1,add,0.4005,"error, run, extension, head, install, treturn, open, code, main, window","['i have a pr for merging `develop` to `main`, why did i get `main` from `${GITHUB_REF#refs/heads/}`?']"
3,1,add,0.2806,"error, run, extension, head, install, treturn, open, code, main, window",['i got \n\n\n\nfrom github action but i got \n\n\n\nfrom local `pytest`']
4,9,async,0.2556,"file, model, build, version, make, datum, create, usr_gem, analysis, data","[""Today when i check the github desktop of my web development project, there're 146 changed file that is in node_modules\\""]"
5,8,askgpt,0.4767,"react, style, return, component, page, comm, false, command, user, display","['img = np.fromfile(dph_files[0], dtype=np.uint16)\nprint (img.size) \n\nis there a faster way to check raw array size?']"
6,12,authorization,0.2774,"const, device, sum, int, image, float, step, uint, bit, make","['Give me an list of User in python, \n\nUser is a dictionary with these field: \n\nname: string, age: int , earn: int']"
7,11,audiofile,0.4438,"number, string, option, param, time, return, secret, counter, base, element",['Write a function that can return the long description of an installed python package\n\nUse it to create a SQLite database of the names and long descriptions if every installed package that has one ']
8,9,async,0.2938,"file, model, build, version, make, datum, create, usr_gem, analysis, data",['I have a repository for Real-world job board app with legacy codebase (React / Contentful / MobX) as a starting point for AI-powered refactoring. Create a readme.md for this project']
9,6,application,0.3434,"health, literacy, long, high, reduce, people, relate, improve, low, find","['reviews.csvSpreadsheetI want you to act as a data visualizer. You will apply your knowledge of data science principles and visualization techniques to create compelling visuals that help convey complex information, develop effective graphs and maps for conveying trends over time or across geographies to design meaningful interactive dashboards, collaborate with subject matter experts in order to understand key needs and deliver on their requirements. please respond in many reasonable small sized chunks starting with the initial steps.']"
