,Topic_Num,Sentences,Top_Words
0,10,"[""what's the difference between openapi oneOf vs anyOf ?""]","use, set, echo, part, write, call, work, instead, fix, developer"
1,10,"['You are Junior, an AI system aiding developers. You are working with a part of a large program called the ""Working Set."" Before starting, check if you need more files to solve the task. Do not edit files without knowing their contents! Ask for them in normal conversational format instead. # Working set docs/roadmap.md: ``` # Roadmap ## Usability & fixes -   Done: Implement the four buttons -   Done: Fix every major bug -   Done: Write docs to allow using Junior for developing external projects ## Programming on mobile - Develop a file browser to allow the user to select attention files from mobile - Create an app by wrapping the frontend - Test it by developing at the local Playground and while commuting ## Auto-attention - Propose an attention based on the requirements and task the user selected - Embed every file in the project - Store the embeddings in an (embedded) vector database ## Prompt herds - Scan and transform (refactor) the codebase gradually ``` # Task Improve the documentation! Incorporate version numbers:   ""Usability & fixes"" is 0.2, released aug 2023   ""Programming on mobile"" will be 0.3, q4 2023     Add a new subitem as the second one: ""Allow secure hosting""    Add a new item ""Plugin system"" 0.4 q4 2023     Allow writing any of the current components as a plugin   ""Auto-attention"" 0.5 q1 2024     Remove ""(embedded)""   ""Prompt herds"" 0.6 q2 2024 Do not create backup files. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, avoid using sed in favor of heredoc-ing full files using \'EOF\' to prevent substitution. OS: OSX Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] echo ""Plan:"" echo ""1. [...]"" [Commands solving the task] echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END ']","use, set, echo, part, write, call, work, instead, fix, developer"
2,10,"['# Working set docs/roadmap.md: ``` # Roadmap ## Usability & fixes -   Done: Implement the four buttons - Fix every major bug - Write docs to allow using Junior for developing external projects ## Programming on mobile - Develop a file browser to allow the user to select attention files from mobile - Create an app by wrapping the frontend - Test it by developing at the local Playground and while commuting ## Auto-attention - Propose an attention based on the requirements and task the user selected - Embed every file in the project - Store the embeddings in an (embedded) vector database ## Prompt herds - Scan and transform (refactor) the codebase gradually ``` # Task Improve the documentation! &#34;Write docs to allow using Junior for developing external projects&#34; is also done. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, avoid using sed in favor of heredoc-ing full files using \'EOF\' to prevent substitution. OS: OSX Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] echo ""Plan:"" echo ""1. [...]"" [Commands solving the task] echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END ']","use, set, echo, part, write, call, work, instead, fix, developer"
3,10,"['You are Junior, an AI system aiding developers. You are working with a part of a large program called the ""Working Set."" Before starting, check if you need more files to solve the task. Do not edit files without knowing their contents! Ask for them in normal conversational format instead. # Working set docs/roadmap.md: ``` # Roadmap ## Usability & fixes -   Done: Implement the four buttons - Fix every major bug -   Done: Write docs to allow using Junior for developing external projects ## Programming on mobile - Develop a file browser to allow the user to select attention files from mobile - Create an app by wrapping the frontend - Test it by developing at the local Playground and while commuting ## Auto-attention - Propose an attention based on the requirements and task the user selected - Embed every file in the project - Store the embeddings in an (embedded) vector database ## Prompt herds - Scan and transform (refactor) the codebase gradually ``` # Task Improve the documentation! Every known major bug is fixed now, check the mark in the roadmap. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, avoid using sed in favor of heredoc-ing full files using \'EOF\' to prevent substitution. OS: Debian Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] echo ""Plan:"" echo ""1. [...]"" [Commands solving the task] echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END ']","use, set, echo, part, write, call, work, instead, fix, developer"
4,10,"['# Working set docs/roadmap.md: ``` # Roadmap ## Usability & fixes - Implement the four buttons - Fix every major bug - Write docs to allow using Junior for developing external projects ## Programming on mobile - Develop a file browser to allow the user to select attention files from mobile - Create an app by wrapping the frontend - Test it by developing at the local Playground and while commuting ## Auto-attention - Propose an attention based on the requirements and task the user selected - Embed every file in the project - Store the embeddings in an (embedded) vector database ## Prompt herds - Scan and transform (refactor) the codebase gradually ``` # Task Improve the documentation! &#34;Implement the four buttons&#34; is done. Add a nice unicode character and a single word to show this. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, avoid using sed in favor of heredoc-ing full files using \'EOF\' to prevent substitution. OS: OSX Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] echo ""Plan:"" echo ""1. [...]"" [Commands solving the task] echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END ']","use, set, echo, part, write, call, work, instead, fix, developer"
5,10,"['You are Junior, an AI system aiding developers. You are working with a part of a large program called the ""Working Set."" Before starting, check if you need more files to solve the task. Do not edit files without knowing their contents! Ask for them in normal conversational format instead. # Working set docs/roadmap.md: ``` # Roadmap ## Usability & fixes v0.2 (Released: Aug 2023) -   Done: Implement the four buttons -   Done: Fix every major bug -   Done: Write docs to allow using Junior for developing external projects ## Programming on mobile v0.3 (Expected: Q4 2023) - Develop a file browser to allow the user to select attention files from mobile - Allow secure hosting - Create an app by wrapping the frontend - Test it by developing at the local Playground and while commuting ## Plugin system v0.4 (Expected: Q4 2023) - Allow writing any of the current components as a plugin ## Auto-attention v0.5 (Expected: Q1 2024) - Propose an attention based on the requirements and task the user selected - Embed every file in the project - Store the embeddings in a vector database ## Prompt herds v0.6 (Expected: Q2 2024) - Scan and transform (refactor) the codebase gradually ``` # Task Improve the documentation! Make the lines with versions and dates monospace. Mark the file browser item with a unicode char as under construction Do not create backup files. # Output Format Encode and enclose your results as ./change.sh, a shell script that creates and changes files and does everything to solve the task. Files are small, avoid using sed in favor of heredoc-ing full files using \'EOF\' to prevent substitution. OS: OSX Installed tools: npm, jq Do NOT write any text outside the script! EXAMPLE START ```sh #!/bin/sh set -e goal=[Task description, max 7 words] echo ""Plan:"" echo ""1. [...]"" [Commands solving the task] echo "" 033[32mDone: $goal 033[0m n"" ``` EXAMPLE END ']","use, set, echo, part, write, call, work, instead, fix, developer"
6,10,['How create an immutable map in Java '],"use, set, echo, part, write, call, work, instead, fix, developer"
7,10,"['I\'m a ruby on rails developer using version 7. By default there are 3 environments: test, development and production. I would like to add an ""integration"" environment. What would be the recommended way?']","use, set, echo, part, write, call, work, instead, fix, developer"
8,10,"['Optimize the following script: #!/bin/bash # @param $1 hostname from which backup should be pulled echo ""pulling backups from: $1"" && # error counter errors=0 && echo ""loading meta data..."" && remote_host=""backup@$1"" && echo ""host address:         $remote_host"" && remote_machine_id=""$( (ssh ""$remote_host"" sha256sum /etc/machine-id) | head -c 64 )"" && echo ""remote machine id:    $remote_machine_id"" && general_backup_machine_dir=""/Backups/$remote_machine_id/"" && echo ""backup dir:           $general_backup_machine_dir"" && remote_backup_types=""$(ssh ""$remote_host"" ""find $general_backup_machine_dir -maxdepth 1 -type d -execdir basename {} ;"")"" && echo ""backup types:          $remote_backup_types"" || exit 1 for backup_type in $remote_backup_types; do   if [ ""$backup_type"" != ""$remote_machine_id"" ]; then     echo ""backup type:              $backup_type"" &&          general_backup_type_dir=""$general_backup_machine_dir""""$backup_type/"" &&     general_versions_dir=""$general_backup_type_dir"" &&     local_previous_version_dir=""$(ls -d $general_versions_dir* | tail -1)"" &&     echo ""last local backup:      $local_previous_version_dir"" &&     remote_backup_versions=""$(ssh ""$remote_host"" ls -d ""$general_backup_type_dir"" *)"" &&     echo ""remote backup versions:   $remote_backup_versions"" &&     remote_last_backup_dir=$(echo ""$remote_backup_versions"" | tail -1) &&     echo ""last remote backup:       $remote_last_backup_dir"" &&     remote_source_path=""$remote_host:$remote_last_backup_dir/"" &&     echo ""source path:              $remote_source_path"" &&     local_backup_destination_path=$remote_last_backup_dir &&     echo ""backup destination:       $local_backup_destination_path"" &&     echo ""creating local backup destination folder..."" &&     mkdir -vp ""$local_backup_destination_path"" &&     echo ""starting backup..."" &&     rsync_command=\'rsync -abP --delete --delete-excluded --rsync-path=""sudo rsync"" --link-dest=""\'$local_previous_version_dir\'"" ""\'$remote_source_path\'"" ""\'$local_backup_destination_path\'""\' &&     echo ""executing:                $rsync_command"" &&     eval ""$rsync_command"" || ((errors+=1));   fi done exit $errors; to retry rsync if rsync gives the following error:  rsync: connection unexpectedly closed (2110616982 bytes received so far) [receiver] rsync error: error in rsync protocol data stream (code 12) at io.c(231) [receiver=3.2.7] rsync: connection unexpectedly closed (7678063 bytes received so far) [generator] rsync error: unexplained error (code 255) at io.c(231) [generator=3.2.7] rsync: [generator] write error: Broken pipe (32)']","use, set, echo, part, write, call, work, instead, fix, developer"
9,10,"['Create a lesson on ""Organizing Functions in JavaScript"". The lesson should be written in Markdown format. The lesson should be targeted at beginners. They have already been exposed to creating and calling functions and using JavaScript to access and modify parts of the DOM using `.innerText()` and `.innerHTML()` as well as using `document.querySelector()` to query the DOM for specific contents based on tags, classes and identifiers. At the end of the lesson, the student should be able to: - Explain what is meant by ""DRY"" code and list the benefits of making our code ""DRY"" and ""modular"" - Explain and demonstrate the concept of Function Scope in JavaScript - Explain the role of the ""stack"" in tracking function calls in JavaScript - Explain the benefits and drawbacks of using nested functions in JavaScript - Explain and demonstrate the concept of ""closures"" in JavaScript Do not include any flow-control logic that has to do with if-else, switch, or any looping logic. All functions used should be in the form of either Named or Anonymous Function Expressions and be assigned to `const` variables. Do not use Arrow Functions or Function Declaration syntax. Students should be directed to the following URL for the official documentation on functions in JavaScript: ']","use, set, echo, part, write, call, work, instead, fix, developer"
